0	86524	0
86524	275508	1
275508	806832	1
806832	937481	1
937481	973942	3
973942	2110641	3
2110641	3610369	3
3610369	3617842	3
3617842	4036906	-7083
4036906	4239858	-7082
4239858	5411744	-7082
5411744	7211571	-7082
7211571	7757998	-7082
7757998	8620442	-7082
8620442	9139759	-7081
9139759	9600266	-7080
9600266	10435327	-7080
10435327	10732510	-7079
10732510	10732513	-7078
10732513	10837163	-7079
10837163	11770298	-7078
11770298	11880270	-7077
11880270	12137157	-7077
12137157	12193566	-7077
12193566	14133729	-7077
14133729	14345167	-7076
14345167	14423736	-7079
14423736	15733660	-7079
15733660	16766678	-7078
16766678	17742280	-7078
17742280	18185997	-7077
18185997	18428218	-7076
18428218	18631524	-7075
18631524	18888957	-7074
18888957	19077693	-7073
19077693	19140468	-7072
19140468	19145750	-7071
19145750	19237565	-7070
19237565	19326107	-7069
19326107	19703781	-7070
19703781	19705359	-7070
